symbol,date,eps
ADVANIHOTR,2009-03-31,0.22
ADVENTHTL,2024-09-30,-5290.0
ADVENTHTL,2024-12-31,5175.0
ADVENTHTL,2025-06-30,16255.0
ADVENTHTL,2025-09-30,0.06
ADVENTHTL,2025-12-31,5.28
ADVENZYMES,2022-12-31,2.63
ADVENZYMES,2023-03-31,2.87
ADVENZYMES,2023-06-30,2.58
ADVENZYMES,2023-09-30,3.08
ADVENZYMES,2023-12-31,3.74
ADVENZYMES,2024-03-31,2.53
ADVENZYMES,2024-06-30,3.05
ADVENZYMES,2024-09-30,2.94
ADVENZYMES,2024-12-31,3.37
ADVENZYMES,2025-03-31,2.37
ADVENZYMES,2025-06-30,3.57
ADVENZYMES,2025-09-30,3.87
ADVENZYMES,2025-12-31,3.8
AEGISLOG,2022-12-31,3.57
AEGISLOG,2023-03-31,4.01
AEGISLOG,2023-06-30,3.3
AEGISLOG,2023-09-30,3.62
AEGISLOG,2023-12-31,3.71
AEGISLOG,2024-03-31,5.59
AEGISLOG,2024-06-30,3.75
AEGISLOG,2024-09-30,3.59
AEGISLOG,2024-12-31,3.54
AEGISLOG,2025-03-31,8.02
AEGISLOG,2025-06-30,3.74
AEGISLOG,2025-09-30,5.12
AEGISLOG,2025-12-31,5.04
AEGISVOPAK,2024-06-30,234.36
AEGISVOPAK,2024-09-30,0.23
AEGISVOPAK,2024-12-31,0.38
AEGISVOPAK,2025-03-31,0.42
AEGISVOPAK,2025-06-30,0.43
AEGISVOPAK,2025-09-30,0.49
AEGISVOPAK,2025-12-31,0.56
AEQUS,2024-12-31,-0.94
AEQUS,2025-09-30,-0.34
AEQUS,2025-12-31,-0.64
AEROENTER,2022-12-31,0.83
AEROENTER,2023-03-31,0.85
AEROENTER,2023-06-30,5.73
AEROENTER,2023-09-30,15.5
AEROENTER,2023-12-31,1.06
AEROENTER,2024-03-31,0.53
AEROENTER,2024-06-30,1.16
AEROENTER,2024-09-30,1.31
AEROENTER,2024-12-31,1.24
AEROENTER,2025-03-31,0.98
AEROENTER,2025-06-30,0.9
AEROENTER,2025-09-30,1.24
AEROENTER,2025-12-31,1.42
AEROFLEX,2022-12-31,2.25
AEROFLEX,2023-03-31,1.1
AEROFLEX,2023-06-30,0.97
AEROFLEX,2023-09-30,0.9
AEROFLEX,2023-12-31,0.7
AEROFLEX,2024-03-31,0.78
AEROFLEX,2024-06-30,0.96
AEROFLEX,2024-09-30,1.06
AEROFLEX,2024-12-31,1.18
AEROFLEX,2025-03-31,0.87
AEROFLEX,2025-06-30,0.55
AEROFLEX,2025-09-30,1.1
AEROFLEX,2025-12-31,1.28
AERONEU,2022-12-31,0.58
AERONEU,2023-03-31,0.22
AERONEU,2023-06-30,0.2
AERONEU,2023-09-30,0.04
AERONEU,2023-12-31,0.02
AERONEU,2024-03-31,0.04
AERONEU,2024-06-30,0.11
AERONEU,2024-09-30,0.1
AERONEU,2024-12-31,0.0
AERONEU,2025-03-31,-0.14
AERONEU,2025-06-30,0.31
AERONEU,2025-09-30,0.4
AERONEU,2025-12-31,0.29
AETHER,2022-12-31,2.81
AETHER,2023-03-31,3.02
AETHER,2023-06-30,2.25
AETHER,2023-09-30,2.77
AETHER,2023-12-31,1.31
AETHER,2024-03-31,-0.11
AETHER,2024-06-30,2.26
AETHER,2024-09-30,2.63
AETHER,2024-12-31,3.27
AETHER,2025-03-31,3.79
AETHER,2025-06-30,3.55
AETHER,2025-09-30,4.07
AETHER,2025-12-31,4.86
AFCONS,2023-06-30,12.64
AFCONS,2023-09-30,14.47
AFCONS,2023-12-31,15.24
AFCONS,2024-03-31,4.25
AFCONS,2024-06-30,2.69
AFCONS,2024-09-30,3.97
AFCONS,2024-12-31,4.05
AFCONS,2025-03-31,3.02
AFCONS,2025-06-30,3.74
AFCONS,2025-09-30,2.87
AFCONS,2025-12-31,2.64
AFFLE,2022-12-31,5.18
AFFLE,2023-03-31,4.68
AFFLE,2023-06-30,4.97
AFFLE,2023-09-30,5.01
AFFLE,2023-12-31,5.48
AFFLE,2024-03-31,6.24
AFFLE,2024-06-30,6.18
AFFLE,2024-09-30,6.56
AFFLE,2024-12-31,7.13
AFFLE,2025-03-31,7.34
AFFLE,2025-06-30,7.5
AFFLE,2025-09-30,7.86
AFFLE,2025-12-31,8.48
AFSL,2022-12-31,2.78
AFSL,2023-03-31,4.19
AFSL,2023-06-30,3.84
AFSL,2023-09-30,4.26
AFSL,2023-12-31,4.32
AFSL,2024-03-31,3.89
AFSL,2024-06-30,4.43
AFSL,2024-09-30,5.06
AFSL,2024-12-31,5.13
AFSL,2025-03-31,5.61
AFSL,2025-06-30,5.92
AFSL,2025-09-30,7.55
AFSL,2025-12-31,6.33
AGARIND,2022-12-31,16.85
AGARIND,2023-03-31,18.92
AGARIND,2023-06-30,18.43
AGARIND,2023-09-30,10.7
AGARIND,2023-12-31,18.47
AGARIND,2024-03-31,25.41
AGARIND,2024-06-30,26.07
AGARIND,2024-09-30,12.33
AGARIND,2024-12-31,18.52
AGARIND,2025-03-31,20.42
AGARIND,2025-06-30,8.71
AGARIND,2025-09-30,8.02
AGARIND,2025-12-31,1.87
AGARWALEYE,2024-12-31,0.72
AGARWALEYE,2025-03-31,1.03
AGARWALEYE,2025-06-30,0.95
AGARWALEYE,2025-09-30,0.94
AGARWALEYE,2025-12-31,1.07
AGI,2024-09-30,11.14
AGI,2024-12-31,13.99
AGI,2025-03-31,14.93
AGI,2025-06-30,13.73
AGI,2025-09-30,11.74
AGI,2025-12-31,11.04
AGI,2026-03-31,17.83
AGIIL,2022-12-31,1.0
AGIIL,2023-03-31,1.09
AGIIL,2023-06-30,1.09
AGIIL,2023-09-30,1.19
AGIIL,2023-12-31,1.22
AGIIL,2024-03-31,0.76
AGIIL,2024-06-30,1.18
AGIIL,2024-09-30,1.43
AGIIL,2024-12-31,1.56
AGIIL,2025-03-31,1.29
AGIIL,2025-06-30,1.64
AGIIL,2025-09-30,1.8
AGIIL,2025-12-31,2.14
AGRITECH,2018-12-31,-0.72
AGRITECH,2019-03-31,0.19
AGRITECH,2019-06-30,0.37
AGRITECH,2019-09-30,-1.55
AGRITECH,2019-12-31,-1.01
AGRITECH,2020-03-31,1.63
