ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at
ABCAPITAL.NS,Aditya Birla Capital Limited,Q2 FY26,2025-09-30,105950000000.0,,8820000000.0,3.27,0.11491108071135431,0.02644736829357848,0.036427732079905996,-0.1358702041776071,ok,2026-05-11T06:23:47.082783+00:00,,,,
ABCAPITAL.NS,Aditya Birla Capital Limited,Q1 FY26,2025-06-30,95030000000.0,,8510000000.0,3.2,-0.22195840838382183,0.075921348937948,-0.039503386004514675,0.09208972845336481,ok,2026-05-11T06:23:46.856703+00:00,,,,
ABCAPITAL.NS,Aditya Birla Capital Limited,Q4 FY25,2025-03-31,122140000000.0,,8860000000.0,3.32,0.3019448160445991,0.11645746419548152,0.22311493967254756,-0.31217054444108033,ok,2026-05-11T06:23:46.629645+00:00,,,,
ABCAPITAL.NS,Aditya Birla Capital Limited,Q3 FY25,2024-12-31,93813500000.0,9674500000.0,7243800000.0,2.72,-0.09113147536187235,0.0660625,-0.2902966649684524,-0.04686842105263158,ok,2026-05-11T17:55:38.474883+00:00,,,,
ABCAPITAL.NS,Aditya Birla Capital Limited,Q2 FY25,2024-09-30,103220100000.0,13284400000.0,10206800000.0,3.83,0.16864894485436058,0.3569094255291179,0.3098403572711873,0.40783448275862066,ok,2026-05-11T17:55:38.975834+00:00,,,,
ABCAPITAL.NS,Aditya Birla Capital Limited,Q1 FY25,2024-06-30,88324300000.0,9931300000.0,7792400000.0,2.92,-0.1926451285013839,0.25371611071682043,-0.3950516648422883,0.17003003003003003,ok,2026-05-11T17:55:39.490432+00:00,,,,
ABDL.NS,Allied Blenders and Distillers Limited,Q4 FY26,,,,,,,,,,DECLARED,,202604.0,scheduled,2026-06-16,2026-06-16T18:10:17.290632
ABDL.NS,Allied Blenders and Distillers Limited,Q3 FY26,2025-12-31,10030000000.0,1360000000.0,640000000.0,2.38,0.013131313131313131,0.029774127310061602,0.015873015873015872,0.12280701754385964,ok,2026-04-19T12:03:04.988288+00:00,,,,
ABDL.NS,Allied Blenders and Distillers Limited,Q2 FY26,2025-09-30,9900000000.0,1250000000.0,630000000.0,2.3,0.07258938244853738,0.14055299539170507,0.125,0.3125,ok,2026-04-19T12:03:04.81141+00:00,,,,
ABDL.NS,Allied Blenders and Distillers Limited,Q1 FY26,2025-06-30,9230000000.0,1120000000.0,560000000.0,2.02,0.002171552660152009,0.21767810026385223,-0.2911392405063291,4.090909090909091,ok,2026-04-19T12:03:04.630246+00:00,,,,
