Date,HDFC,ICICI,AXISBANK,SBIN,KOTAK,INDUSIND,BANKBEES
2015-06-23,553.0302734375,184.44700622558594,240.06439208984375,266.1414489746094,784.9710083007812,137.1520233154297,241.66888427734375
2015-06-24,553.2239379882812,184.56300354003906,238.6268768310547,269.7494201660156,795.2350463867188,137.48487854003906,236.7948760986328
2015-06-25,551.8202514648438,185.29100036621094,243.0078582763672,267.2450256347656,816.5637817382812,139.7501220703125,239.00624084472656
2015-06-26,547.415771484375,184.781005859375,242.51730346679688,264.61334228515625,818.6824951171875,137.1371307373047,239.36729431152344
2015-06-29,544.705322265625,182.68499755859375,241.10263061523438,264.1888732910156,809.4541625976562,135.95982360839844,234.35787963867188
2015-06-30,541.0753173828125,184.33299255371094,243.4984130859375,261.4723205566406,821.7899780273438,137.68360900878906,237.15591430664062
2015-07-01,560.1453247070312,186.23899841308594,244.68492126464844,265.037841796875,824.4736938476562,139.9140625,241.66888427734375
2015-07-02,565.3241577148438,187.1739959716797,243.27113342285156,265.7169189453125,819.0120239257812,142.60653686523438,241.75917053222656
2015-07-03,567.2117309570312,187.9530029296875,246.96092224121094,267.0328369140625,841.3766479492188,141.96075439453125,243.15817260742188
2015-07-06,565.5177001953125,190.19700622558594,249.08738708496094,267.54217529296875,846.8381958007812,143.45602416992188,244.42178344726562
2015-07-07,567.4537963867188,189.42999267578125,249.8575439453125,265.37738037109375,846.5086669921875,141.63784790039062,246.31724548339844
2015-07-08,558.2092895507812,186.73800659179688,245.71946716308594,261.0902404785156,840.3408813476562,140.50518798828125,241.30784606933594
2015-07-09,557.8677368164062,186.8280029296875,246.91493225097656,262.7456970214844,840.9057006835938,140.12765502929688,241.66888427734375
2015-07-10,564.1128540039062,188.531005859375,250.75408935546875,265.8442687988281,842.7420654296875,140.9622344970703,244.19615173339844
2015-07-13,567.8696899414062,190.79100036621094,251.9955596923828,268.6033630371094,870.05029296875,142.07496643066406,247.039306640625
2015-07-14,569.7725830078125,190.33999633789062,251.0069580078125,266.0989685058594,870.1444702148438,141.22056579589844,242.0750732421875
2015-07-15,569.8701171875,190.3990020751953,252.1219482421875,267.1177062988281,873.0635375976562,141.53846740722656,241.93963623046875
2015-07-16,593.9236450195312,194.3209991455078,256.2599792480469,269.1976318359375,877.9130859375,147.29103088378906,245.68540954589844
2015-07-17,587.5321655273438,193.49000549316406,255.3059539794922,269.4947204589844,881.2559814453125,145.6815185546875,244.6925811767578
2015-07-20,585.3853759765625,192.04600524902344,256.38641357421875,268.0939636230469,892.1793823242188,146.3670654296875,241.39810180664062
2015-07-21,570.50439453125,189.10000610351562,252.4323272705078,264.401123046875,883.6102294921875,143.1976776123047,238.55491638183594
2015-07-22,575.5785522460938,191.66299438476562,256.1910095214844,268.94293212890625,901.0781860351562,144.78732299804688,242.39096069335938
2015-07-23,569.6261596679688,190.27099609375,254.69679260253906,265.6321105957031,894.3922119140625,143.13809204101562,243.74481201171875
2015-07-24,566.4060668945312,187.802001953125,254.6852569580078,255.19021606445312,900.08935546875,144.00242614746094,237.60723876953125
2015-07-27,542.3523559570312,184.375,251.92652893066406,247.125244140625,883.5631713867188,142.07496643066406,233.27479553222656
2015-07-28,547.6705932617188,184.60299682617188,254.83470153808594,241.94677734375,894.4393310546875,144.9363555908203,233.95175170898438
2015-07-29,553.4765625,185.01499938964844,254.80018615722656,245.5547637939453,897.9706420898438,144.25082397460938,228.89723205566406
2015-07-30,552.0128784179688,185.98699951171875,255.3059539794922,247.0403594970703,916.8981323242188,142.43267822265625,231.78549194335938
2015-07-31,559.6241455078125,189.6790008544922,255.55882263183594,256.7182312011719,920.664794921875,138.18035888671875,243.74481201171875
2015-08-03,562.746826171875,190.55999755859375,251.8231201171875,265.6321105957031,917.039306640625,137.1470947265625,253.67333984375
