Date,Close,gmm_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,gmm_regime,numeric_regime,smoothed_numeric_regime,smoothed_regime
2022-10-28,17786.80078125,0,0.884034410891723,0.11591461247506511,5.097663321281831e-05,Neutral,1,1,Neutral
2022-10-31,18012.19921875,0,0.9949182508316452,0.004879380951223406,0.00020236821713118632,Neutral,1,1,Neutral
2022-11-01,18145.400390625,0,0.9997759295692223,0.00017591319913978296,4.815723163864891e-05,Neutral,1,1,Neutral
2022-11-02,18082.849609375,0,0.9275841146047553,0.07241477897007471,1.1064251691558581e-06,Neutral,1,1,Neutral
2022-11-03,18052.69921875,0,0.6964626729619152,0.2950623805832554,0.008474946454828882,Neutral,1,1,Neutral
2022-11-04,18117.150390625,0,0.9209588395775444,0.05879714395238575,0.020244016470070375,Neutral,1,1,Neutral
2022-11-07,18202.80078125,0,0.9151178738699022,0.006732987228429899,0.07814913890166844,Neutral,1,1,Neutral
2022-11-09,18157.0,0,0.8402938717759686,0.11680880779920401,0.04289732042482704,Neutral,1,1,Neutral
2022-11-10,18028.19921875,2,0.23079628439572245,0.3641257341941138,0.4050779814101635,Risk-On,2,2,Risk-On
2022-11-11,18349.69921875,0,0.9839404874132422,6.295051119285804e-08,0.016059449636246115,Neutral,1,1,Neutral
2022-11-14,18329.150390625,2,0.3033791159674438,0.07671848583290138,0.6199023981996551,Risk-On,2,2,Risk-On
2022-11-15,18403.400390625,2,0.10911729094781365,0.024193822081790703,0.8666888869703959,Risk-On,2,2,Risk-On
2022-11-16,18409.650390625,2,0.08282647113324036,0.06255008464058057,0.8546234442261789,Risk-On,2,2,Risk-On
2022-11-17,18343.900390625,2,0.07697382828259024,0.09684542455672226,0.8261807471606866,Risk-On,2,2,Risk-On
2022-11-18,18307.650390625,2,0.03193118960773546,0.04217632932656167,0.9258924810657025,Risk-On,2,2,Risk-On
